IBM,77.82,6/10/02,12:14pm,-0.48,77.75,78.8,77.1,3418300
MSFT,52.8,6/10/02,12:19pm,0.82,51.65,52.94,51.46,17516400
DELL,26.43,6/10/02,12:19pm,0.15,26.2,26.55,26.01,6599900
CSCO,15.691,6/10/02,12:19pm,-0.039,15.59,15.86,15.47,24293800
AMZN,17.1871,6/10/02,12:19pm,-1.3929,17.9,18.12,17.02,5828900
PCLN,4.34,6/10/02,12:19pm,0.51,4.02,4.42,4.01,2497100
